X1,gene,entrez_id,ensembl_id,class,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,avg_expr,top_log2FC,bretigea_ranking,dan_ranking,bretigea_ranking_best
4138,ZC3H12C,85463,ENSG00000149289,Non-neuronal,0.396,0.494,1.4938343517576,1.03544706914438,0.472,0.056,2.74589856290932e-82,1.38066525641644e-77,1.5279702257068615,-0.3967714439240364,1716,2061.5,1887
3686,SPOCK3,50859,ENSG00000196104,Non-neuronal,0.786,0.75,1.51203488414864,1.04806271685592,0.616,0.232,9.69064972882531e-198,4.87255559015065e-193,4.080525723202001,-0.5749362853620137,1485,2218,1888
3796,TACR3,6870,ENSG00000169836,Non-neuronal,0.304,0.405,2.01603927667913,1.39741194052826,0.46,0.08,9.06442338813657e-96,4.55768272378895e-91,0.35296487530840415,0.00906259520883057,1857,1324,1889
873,DST,667,ENSG00000151914,Non-neuronal,0.956,0.997,1.13760715259075,0.788529190403111,0.658,0.316,1.03977734587064e-156,5.22810447277214e-152,6.274324546179133,-0.024380451452622687,1370.5,2108,1890.5
2314,LOC105377699,105377699,NA,Non-neuronal,0.291,0.317,1.58434698652099,1.09818564673567,0.494,0.012,3.07361310654202e-12,1.5454434061004e-7,0.4555297665964619,-0.021198157870828016,1998,1616,1890.5
1311,HIBCH,26275,ENSG00000198130,Non-neuronal,0.614,0.756,1.28818193446152,0.892899675920263,0.485,0.03,5.85433593796469e-133,2.94361865296803e-128,2.713705720518134,-0.18506388872234325,1481,2077,1892
3201,PYCR2,29920,ENSG00000143811,Non-neuronal,0.133,0.22,1.38827517280401,0.96227902187047,0.464,0.072,5.69199214183516e-179,2.86199056883614e-174,0.5464968899679075,-0.22964089657928277,2223.5,1996.5,1893
2692,NASP,4678,ENSG00000132780,Non-neuronal,0.699,0.852,1.29842041969592,0.899996453093679,0.501,0.002,6.44918111358838e-185,3.24271275572337e-180,3.210781457113649,-0.18891755541756927,1438,2063,1894
2837,OLFM2,93145,ENSG00000105088,Non-neuronal,0.661,0.751,1.66601453200008,1.15479327562776,0.485,0.03,3.20415133730201e-97,1.61107933390883e-92,1.8860380675258448,-0.3869301626488093,1490,1914.5,1895
3755,SUGCT,79783,ENSG00000175600,Non-neuronal,0.684,0.724,1.43070652869667,0.991690196574804,0.498,0.004,1.3593014736777e-22,6.83470373979884e-18,1.4299624915565199,-0.07055586669771297,1510,1800.5,1896
3063,PML,5371,ENSG00000140464,Non-neuronal,0.24,0.272,1.53513651527577,1.06407554733802,0.486,0.028,2.05482600416181e-9,1.0331870631526e-4,0.42981205178375015,-0.08044984616906747,2103,1712,1897
983,ETS1,2113,ENSG00000134954,Non-neuronal,0.25,0.194,1.69542994071768,1.17518248324537,0.527,0.054,3.90527676844977e-19,1.96361221194423e-14,0.5048136082541766,-0.6379510794707575,2308.5,2058.5,1898.5
2036,LOC105370214,105370214,NA,Non-neuronal,0.436,0.386,1.30494538834605,0.904519216716764,0.545,0.0900000000000001,2.63528743216671e-57,1.32504887376774e-52,0.4906332555229926,0.5085819980366502,1896.5,1543,1898.5
