"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"763","LOC105379082",105379082,NA,"VLMC",1,0.483,3.58228955864648,0.998,0.996,3.91870983842892e-15,1.97036649386044e-10
"764","LOC105379102",105379102,NA,"VLMC",0.182,0.354,2.79489337441795,0.445,0.11,1.07958797251793e-09,5.42827628461741e-05
"765","LOC105379364",105379364,NA,"Astrocyte",0.682,0.59,3.01346845015721,0.664,0.328,0,0
"766","LOC255187",255187,NA,"Oligodendrocyte",0.424,0.101,4.78245874704112,0.681,0.362,0,0
"767","LOC284930",284930,NA,"IT",0.887,0.396,3.28815474857093,0.886,0.772,0,0
"768","LOC285626",285626,NA,"Microglia",0.392,0.139,4.45623938999978,0.648,0.296,0,0
"769","LOC389332",389332,"ENSG00000271824","L5/6 IT Car3",0.551,0.005,2.81397601153106,0.773,0.546,1.76239954240912e-237,8.86152113918728e-233
"770","LOC400464",400464,NA,"VLMC",0.545,0.224,2.88294437253442,0.701,0.402,0.000113403472036291,1
"771","LOC401191",401191,NA,"L6b",0.788,0.34,2.54539172738906,0.815,0.63,2.38267998319619e-262,1.19803532235087e-257
"772","LOC401478",401478,NA,"Microglia",0.715,0.508,3.46520158270074,0.743,0.486,0,0
"773","LOC642484",642484,NA,"PAX6",0.448,0.05,3.29026224336834,0.706,0.412,1.83460101438134e-75,9.2245573604108e-71
"774","LOC644135",644135,NA,"Pericyte",0.469,0.128,3.01845532422347,0.678,0.356,8.09211716851042e-07,0.0406879743349872
"775","LOC645321",645321,NA,"Astrocyte",0.518,0.016,3.37576962831411,0.752,0.504,0,0
"776","LOC648987",648987,NA,"VLMC",0.636,0.404,3.51247438847126,0.73,0.46,4.48493560497017e-11,2.25507047153505e-06
"777","LOC729732",729732,NA,"L5/6 NP",1,0.842,2.74782803068137,0.992,0.984,0,0
"778","LPAR1",1902,"ENSG00000198121","Oligodendrocyte",0.91,0.26,3.54568431781221,0.928,0.856,0,0
"779","LPAR5",57121,"ENSG00000184574","Microglia",0.616,0.28,4.68151177853624,0.741,0.482,0,0
"780","LPAR6",10161,"ENSG00000139679","Microglia",0.971,0.089,6.06410775868713,0.982,0.964,0,0
"781","LPCAT2",54947,"ENSG00000087253","Microglia",0.773,0.211,4.0830843777416,0.85,0.7,0,0
"782","LPL",4023,"ENSG00000175445","Pericyte",0.469,0.107,3.84856373022007,0.702,0.404,1.7616734640586e-19,8.85787034463306e-15
"783","LRAT",9227,"ENSG00000121207","L6b",0.577,0.141,2.82501054859512,0.75,0.5,2.71146430261272e-302,1.3633513659967e-297
"784","LRIG1",26018,"ENSG00000144749","Astrocyte",0.877,0.304,2.8608640596705,0.882,0.764,0,0
"785","LRIG3",121227,"ENSG00000139263","VLMC",0.364,0.139,2.5683847367352,0.635,0.27,3.4267931211619e-05,1
"786","LRP2",4036,"ENSG00000081479","Oligodendrocyte",0.65,0.484,4.26873770108185,0.714,0.428,0,0
"787","LRP4",4038,"ENSG00000134569","Astrocyte",0.852,0.229,2.69241078123776,0.882,0.764,0,0
"788","LRRC63",220416,"ENSG00000173988","Oligodendrocyte",0.537,0.196,3.45679972200229,0.71,0.42,0,0
"789","LSP1",4046,"ENSG00000130592, ENSG00000288199","VLMC",0.364,0.195,2.64312020096529,0.61,0.22,2.62228627224938e-16,1.31851176054971e-11
"790","LST1",7940,"ENSG00000226182, ENSG00000235915, ENSG00000230791, ENSG00000234514, ENSG00000206433, ENSG00000204482, ENSG00000223465, ENSG00000231048","Microglia",0.432,0.007,4.99604409062475,0.714,0.428,0,0
"791","LTBP2",4053,"ENSG00000119681","VLMC",0.455,0.198,4.32105522644692,0.659,0.318,1.05781074513258e-08,0.000531877820760114
"792","LTC4S",4056,"ENSG00000213316, ENSG00000283887","Microglia",0.477,0.037,4.36786382967632,0.728,0.456,0,0
"793","LURAP1L.AS1",NA,NA,"Oligodendrocyte",0.495,0.226,3.10580212085545,0.674,0.348,0,0
"794","LUZP2",338645,"ENSG00000187398","OPC",1,0.747,2.96653188572558,0.984,0.968,0,0
"795","LY86",9450,"ENSG00000112799","Microglia",0.605,0.058,5.36104740522802,0.789,0.578,0,0
"796","LY86.AS1",NA,NA,"IT",0.961,0.321,2.77464861286022,0.942,0.884,0,0
"797","LYN",4067,"ENSG00000254087","Microglia",0.819,0.459,4.04005309586056,0.843,0.686,0,0
"798","MAFB",9935,"ENSG00000204103","SST",0.551,0.061,2.54203813593492,0.749,0.498,4.41519185412321e-228,2.22000261617169e-223
"799","MAG",4099,"ENSG00000105695","Oligodendrocyte",0.848,0.151,5.38931574279339,0.91,0.82,0,0
"800","MAL",4118,"ENSG00000172005","Oligodendrocyte",0.783,0.097,4.44337750245749,0.875,0.75,0,0
"801","MAML3",55534,"ENSG00000196782","Microglia",0.932,0.697,2.94064270940058,0.871,0.742,0,0
"802","MAP6D1",79929,"ENSG00000180834","Oligodendrocyte",0.423,0.193,2.71916088638591,0.641,0.282,1.2356648104123e-313,6.21304623323408e-309
"803","MARCKSL1",65108,"ENSG00000175130","Oligodendrocyte",0.579,0.162,2.84723752066056,0.741,0.482,0,0
"804","MB21D1",115004,"ENSG00000164430","Microglia",0.352,0.335,2.74461367329332,0.543,0.0860000000000001,1.9361883823342e-158,9.7353488052146e-154
"805","MBP",4155,"ENSG00000197971","Oligodendrocyte",1,0.682,4.13788604551632,0.997,0.994,0,0
"806","MCL1",4170,"ENSG00000143384","Endothelial",0.357,0.146,2.9359337558807,0.623,0.246,7.75641061130157e-17,3.90000081946854e-12
"807","MCOLN3",55283,"ENSG00000055732","VLMC",0.364,0.092,4.43507347362424,0.643,0.286,1.26537587409172e-06,0.0636243643252059
"808","MDFIC",29969,"ENSG00000135272","L6b",0.898,0.327,2.90701761335552,0.901,0.802,8.05608076511396e-282,4.05067796950695e-277
"809","MECOM",2122,"ENSG00000085276","Endothelial",0.971,0.467,6.91201236472888,0.976,0.952,0,0
