"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SH2D5",0.541414842366271,0.684839293409265,0.414103324507986,1.65378844572898,0.0981705044098952,0.990512677498131
"HP1BP3",7.2355659674371,0.155238247856389,0.139558604866738,1.11235167480087,0.265986973844638,0.990512677498131
"EIF4G3",21.514223857936,-0.0762496824170864,0.079389867364813,-0.960446023504526,0.336830784411343,0.990512677498131
"ECE1",1.48743884825581,-0.408321366730111,0.293263205836836,-1.3923375268471,0.163820212763365,0.990512677498131
"NBPF3",1.80402514667589,-0.126762976927132,0.276741251474129,-0.458055950285322,0.646912244870666,0.990512677498131
"ALPL",0.0422152626945041,0.475303742589007,3.02730100131416,0.157005775898292,0.875240296052542,0.990512677498131
"RAP1GAP",4.53422696126883,-0.0597075765503639,0.168267473283277,-0.354837303878966,0.722711480037585,0.990512677498131
"USP48",5.01680872543666,-0.21047802301537,0.162603517874564,-1.29442478100466,0.195518735497038,0.990512677498131
"LDLRAD2",0.0533048624177339,0.795081122263942,3.02758802192939,0.262612058346452,0.792849604983879,0.990512677498131
"HSPG2",0.0577931688840499,0.433701818237699,2.45799011761015,0.176445712751432,0.859943794391027,0.990512677498131
"CELA3B",0.0766481661676275,0.822203409243389,3.02862339183438,0.271477599842943,0.786023725766761,0.990512677498131
"CELA3A",0.0070194978607072,0.932227910101828,3.02885612383137,0.307782169898054,0.758248089792053,0.990512677498131
"CDC42",5.66477055147014,0.210799195035552,0.209505910662005,1.00617302093988,0.314332347687639,0.990512677498131
"WNT4",0.0284515826037104,0.972303285467067,3.0281203185611,0.321091364668457,0.748141154117149,0.990512677498131
"ZBTB40",0.782226933775417,-0.0944626853320969,0.345796512471113,-0.273174199060171,0.784719312121831,0.990512677498131
"EPHA8",0.0610186739459236,0.664137350521483,2.90009615003643,0.229005286777523,0.818864807056694,0.990512677498131
"C1QA",0.00299223430048141,0.794230881133587,3.0287215822302,0.262233044395172,0.793141778792217,0.990512677498131
"C1QC",0,NA,NA,NA,NA,NA
"C1QB",0.0131503139098909,0.812385152694925,3.02852808004848,0.268244220037715,0.788511339118614,0.990512677498131
"EPHB2",2.57622518064228,0.11237561146539,0.294051095774853,0.382163552797753,0.702340054390352,0.990512677498131
"LACTBL1",0.00564156553168807,0.696673109765631,3.02865364616754,0.230027329353821,0.818070533312379,0.990512677498131
"C1orf234",0.0606210891593032,0.864264203152593,3.02658422250515,0.2855576252351,0.775216962659762,0.990512677498131
"KDM1A",2.97011757347024,0.109392676735189,0.234747812653593,0.466000835103054,0.641214902796289,0.990512677498131
"LUZP1",4.18458991205357,0.00838908812299722,0.174965508485813,0.0479470965197546,0.961758404933167,0.995077019199565
"HTR1D",0.311732923875051,0.879472083002174,1.78921962184252,0.491539480265984,0.623044935719277,0.990512677498131
"HNRNPR",2.50282151389188,0.239688559811603,0.228311357372725,1.04983196004702,0.293795378335896,0.990512677498131
"ZNF436",0.40119469629467,0.891495711936474,0.511337112562448,1.74345982334228,0.0812533263679028,0.990512677498131
"TCEA3",0.622027607090832,0.256869736727934,0.452406070493869,0.567785786887259,0.570180431969254,0.990512677498131
"ASAP3",0.615508374547156,0.0119403034980318,0.5102477553476,0.0234009917199883,0.981330413945538,0.998216602623193
"E2F2",0,NA,NA,NA,NA,NA
"ID3",0.0174202129277149,1.11492038315767,3.02801597539896,0.368201618556775,0.712722903551704,0.990512677498131
"MDS2",0.131973869867927,0.867372197220497,2.40917795751288,0.360028280399813,0.718825984988848,0.990512677498131
"RPL11",5.40233403326529,0.158929473625347,0.274006136796143,0.580021584493153,0.561900062171863,0.990512677498131
"TCEB3",1.39392768317925,-0.103444347200595,0.34406757470842,-0.300651252267115,0.763680444822456,0.990512677498131
"PITHD1",5.37227345366859,0.125566103872399,0.202821858483145,0.619095519642098,0.53585343470749,0.990512677498131
"LYPLA2",0.524193243082879,0.154553316910345,0.500882669207997,0.308561917613813,0.75765479342724,0.990512677498131
"GALE",1.10412584465707,0.157184851351778,0.349996679325732,0.449103836226659,0.653356753207164,0.990512677498131
"HMGCL",0.573657735050186,0.709536349204831,0.463638889234186,1.53036418143613,0.125926609818502,0.990512677498131
"FUCA1",0.415962932247316,0.223614391674662,0.501080777814419,0.446264158545471,0.655406442979517,0.990512677498131
"CNR2",0.0175776295597773,0.584259890236876,3.02849687618873,0.19292075049856,0.847021033752634,0.990512677498131
"PNRC2",0.695231414487821,0.636696732771706,0.414025856800364,1.5378187673885,0.124092933512062,0.990512677498131
"SRSF10",3.77730220160894,-0.0579188514801448,0.244342274764656,-0.237039830851745,0.81262589010233,0.990512677498131
"MYOM3",0.0292272897354244,1.13984605542909,3.02829431171618,0.376398704385878,0.706620509052353,0.990512677498131
"IL22RA1",0.0138617415292817,0.992435128927893,3.02893996248344,0.327650974010786,0.743175575821824,0.990512677498131
