"","gene","X","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","hMC_overlap","used"
"157","CATSPERB",157,79820,"ENSG00000274338, ENSG00000133962","VLMC",0.636,0.4,2.57577103444643,0.65,0.3,NA,NA,FALSE,FALSE
"158","CBR1",158,873,"ENSG00000159228","Oligodendrocyte",0.504,0.157,3.18648327149776,0.702,0.404,0,0,TRUE,TRUE
"159","CCDC50",159,152137,"ENSG00000152492","OPC",0.824,0.333,2.50813222745201,0.836,0.672,0,0,FALSE,TRUE
"160","CCDC68",160,80323,"ENSG00000166510","Endothelial",0.457,0.278,3.05649078413608,0.632,0.264,8.5866603259321e-20,4.31745867848192e-15,FALSE,FALSE
"161","CD109",161,135228,"ENSG00000156535","Endothelial",0.443,0.4,2.60186050405586,0.561,0.122,1.95253142585113e-09,9.81752326232205e-05,FALSE,TRUE
"162","CD200R1L",162,344807,"ENSG00000206531","L5/6 NP",0.597,0.024,4.05478106651628,0.793,0.586,0,0,FALSE,FALSE
"163","CD22",163,933,"ENSG00000012124","Oligodendrocyte",0.794,0.139,4.81254468700798,0.88,0.76,0,0,TRUE,TRUE
"164","CD320",164,51293,"ENSG00000167775","Endothelial",0.443,0.212,3.09757395013841,0.645,0.29,2.76020510023127e-21,1.38785872644729e-16,TRUE,TRUE
"165","CD34",165,947,"ENSG00000174059","Endothelial",0.671,0.033,5.87027023779349,0.83,0.66,8.76686193217156e-169,4.40806584811518e-164,TRUE,TRUE
"166","CD36",166,948,"ENSG00000135218","L5/6 NP",0.895,0.1,4.25309410359328,0.936,0.872,0,0,FALSE,FALSE
"167","CD38",167,952,"ENSG00000004468","Astrocyte",0.571,0.347,4.04198445344897,0.687,0.374,0,0,TRUE,TRUE
"168","CD4",168,920,"ENSG00000010610","Microglia",0.531,0.216,4.33986163019012,0.707,0.414,0,0,TRUE,TRUE
"169","CD53",169,963,"ENSG00000143119","Microglia",0.556,0.065,4.28413146659562,0.757,0.514,0,0,TRUE,TRUE
"170","CD58",170,965,"ENSG00000116815","Endothelial",0.357,0.123,2.97653561906357,0.635,0.27,1.5041865101369e-21,7.56320019161933e-17,FALSE,TRUE
"171","CD74",171,972,"ENSG00000019582","Microglia",0.928,0.11,6.19681116764836,0.958,0.916,0,0,TRUE,TRUE
"172","CD82",172,3732,"ENSG00000085117","Oligodendrocyte",0.36,0.082,2.51517332984644,0.647,0.294,0,0,FALSE,TRUE
"173","CD84",173,8832,"ENSG00000066294","Microglia",0.448,0.019,5.55654972068025,0.718,0.436,0,0,TRUE,TRUE
