"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"752","MKNK1",8569,"Micro_C1QC","Microglia",0.813,0.511,2.88090354065113,1.53320687704415e-314,7.70911749846567e-310,0.807,0.614
"753","MLC1",23209,"Astro_FGFR3","Astrocyte",0.636,0.068,3.86158667483158,0,0,0.802,0.604
"754","MLIP",90523,"Pyramidal","Pyramidal",0.978,0.233,4.10354817756595,0,0,0.978,0.956
"755","MMD2",221938,"Astro_FGFR3","Astrocyte",0.988,0.554,2.85391649321651,0,0,0.95,0.9
"756","MMP2",4313,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.052,2.83114470444538,0.00162574321210307,1,0.66,0.32
"757","MMP28",79148,"Astro_FGFR3","Astrocyte",0.562,0.238,2.55952130410555,7.13922964424855e-262,3.58967605742461e-257,0.701,0.402
"758","MMRN2",79812,"Endo_CLDN5","Endothelial",0.4,0.104,3.71083861287453,1.80006839760069e-28,9.05092390997602e-24,0.662,0.324
"759","MOBP",4336,"Oligo","Oligo",0.989,0.238,5.09934539773311,0,0,0.988,0.976
"760","MOG",4340,"Oligo","Oligo",0.959,0.094,5.52602900476074,0,0,0.975,0.95
"761","MRC1",4360,"Micro_C1QC","Microglia",0.599,0.22,4.32081782489672,0,0,0.74,0.48
"762","MROH7-TTC4",100527960,"Astro_FGFR3","Astrocyte",0.63,0.126,3.27473781914564,0,0,0.777,0.554
"763","MROH9",80133,"OPC_MYT1","OPC",0.634,0.166,4.48563477646963,0,0,0.777,0.554
"764","MRVI1",10335,"Astro_FGFR3","Astrocyte",0.872,0.177,3.70944808770312,0,0,0.91,0.82
"765","MS4A7",58475,"Micro_C1QC","Microglia",0.609,0.025,6.03621069075783,0,0,0.799,0.598
"766","MSI2",124540,"Astro_FGFR3","Astrocyte",0.998,0.805,2.83514456190971,0,0,0.983,0.966
"767","MSR1",4481,"Micro_C1QC","Microglia",0.395,0.125,4.57613959191846,6.39115280445584e-280,3.21353554160844e-275,0.654,0.308
"768","MT1E",4493,"Astro_FGFR3","Astrocyte",0.497,0.049,2.90453955075764,0,0,0.73,0.46
"769","MT1F",4494,"Astro_FGFR3","Astrocyte",0.479,0.036,3.57462223844992,0,0,0.727,0.454
"770","MT1G",4495,"Astro_FGFR3","Astrocyte",0.427,0.057,3.52242327508122,1.41302774710597e-320,7.1048448152235e-316,0.693,0.386
"771","MT1X",4501,"Astro_FGFR3","Astrocyte",0.402,0.045,2.89927339102833,1.37749778689623e-267,6.92619662229296e-263,0.683,0.366
"772","MT2A",4502,"Astro_FGFR3","Astrocyte",0.786,0.144,3.22119853421103,0,0,0.863,0.726
"773","MT3",4504,"Astro_FGFR3","Astrocyte",0.902,0.524,2.55272325859691,0,0,0.89,0.78
"774","MUSK",4593,"Oligo","Oligo",0.442,0.157,2.66580673349814,0,0,0.666,0.332
"775","MUSTN1",389125,"Peri_MUSTN1","Peri_MUSTN1",0.625,0.008,5.02196794668968,5.00746594572071e-44,2.51780395216783e-39,0.811,0.622
"776","MX1",4599,"Endo_CLDN5","Endothelial",0.371,0.184,2.54504150892542,2.60083748110907e-14,1.30772709387645e-09,0.616,0.232
"777","MXRA5",25878,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.282,3.27141530671992,3.24133865041146e-08,0.00162977748681339,0.571,0.142
"778","MYBPC1",4604,"Astro_FGFR3","Astrocyte",0.568,0.263,2.59728187831077,8.47307117630722e-235,4.26034491815903e-230,0.693,0.386
"779","MYCT1",80177,"Endo_CLDN5","Endothelial",0.486,0.061,5.42222250547628,1.94690100737456e-109,9.78921295518005e-105,0.725,0.45
"780","MYH11",4629,"Peri_MUSTN1","Peri_MUSTN1",0.281,0.537,2.85095059649586,1.6213437155839e-06,0.0815227833632738,0.383,0.234
"781","MYL12A",10627,"Peri_MUSTN1","Peri_MUSTN1",0.5,0.083,3.6964303235464,1.24964940105248e-15,6.28336215343198e-11,0.725,0.45
