"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"157","L2/3 IT","scale(age_death)",0.207751082274267,0.208574159985032,0.996053788682048,0.331123225487659,"Mathys","M1","Unfiltered","Glutamatergic"
"158","L2/3 IT","(Intercept)",-0.0170469013459692,0.452876164218767,-0.0376414187648315,0.970346773956692,"Mathys","M1","Filtered","Glutamatergic"
"159","L2/3 IT","LOADAD",-2.28148550763711,0.907420034273188,-2.51425516460467,0.0535489280829808,"Cain","M1","Filtered","Glutamatergic"
"160","L2/3 IT","LOADAD",-0.137482000684925,0.581159226843237,-0.236565117328869,0.817341657144952,"Zhou","M1","Unfiltered","Glutamatergic"
"161","L2/3 IT","LOADAD",-1.7444664642967,0.958633247399775,-1.81974333670196,0.128451593977157,"Cain","M1","Unfiltered","Glutamatergic"
"162","L2/3 IT","scale(pmi)",0.83754561094163,0.361172766000148,2.31896114487571,0.0681417371948331,"Cain","M1","Unfiltered","Glutamatergic"
"163","L2/3 IT","scale(age_death)",-0.057901444793939,0.294987975596639,-0.196284084721855,0.847967045998134,"Zhou","M1","Unfiltered","Glutamatergic"
"164","L2/3 IT","scale(pmi)",-0.319116432154415,0.306448591614282,-1.04133757141256,0.320065858508933,"Zhou","M1","Filtered","Glutamatergic"
"165","L2/3 IT","(Intercept)",-0.103623576180541,0.440998024358411,-0.234975148315683,0.818544854729419,"Zhou","M1","Filtered","Glutamatergic"
"166","L2/3 IT","scale(age_death)",0.269687677265079,0.213212471616225,1.26487759004317,0.220455635435658,"Mathys","M1","Filtered","Glutamatergic"
"167","L2/3 IT","factor(msex)1",-0.877047645937771,0.593506993027324,-1.47773767831139,0.19952494108404,"Cain","M1","Unfiltered","Glutamatergic"
"168","L2/3 IT","scale(pmi)",-0.148510094584251,0.2225978767401,-0.667167615249305,0.512289870903043,"Mathys","M1","Filtered","Glutamatergic"
"169","L2/3 IT","factor(msex)1",-0.325943681699364,0.609589369222106,-0.534693841717251,0.603501379463559,"Zhou","M1","Unfiltered","Glutamatergic"
"170","L2/3 IT","LOADAD",-0.248446067038482,0.46757663203433,-0.531348339538577,0.601029592674083,"Mathys","M1","Filtered","Glutamatergic"
