"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"470","CNP",1267,"ENSG00000173786","Oligodendrocyte",0.635,0.144,3.24559218264422,0.718,0.436,0,0
"471","CNR1",1268,"ENSG00000118432","VIP",0.413,0.106,2.58150010225647,0.725,0.45,0,0
"472","CNTN2",6900,"ENSG00000184144","Oligodendrocyte",0.498,0.141,2.90919461085766,0.697,0.394,0,0
"473","CNTN5",53942,"ENSG00000149972","VIP",0.72,0.42,1.3493568982055,0.611,0.222,0,0
"474","CNTN5",53942,"ENSG00000149972","PVALB",0.895,0.412,1.45134713519212,0.628,0.256,0,0
"475","CNTN6",27255,"ENSG00000134115","VIP",0.167,0.097,1.35882257283169,0.546,0.0920000000000001,5.57615161391415e-163,9.99580938310251e-159
"476","CNTNAP3",79937,"ENSG00000106714","Astrocyte",0.221,0.109,1.26760883483316,0.545,0.0900000000000001,3.4068306111422e-204,6.10708455353351e-200
"477","CNTNAP3",79937,"ENSG00000106714","PVALB",0.584,0.092,2.18439074495085,0.767,0.534,0,0
"478","CNTNAP3",79937,"ENSG00000106714","L6b",0.561,0.103,1.68267149067852,0.812,0.624,0,0
"479","CNTNAP3B",728577,"ENSG00000154529","Astrocyte",0.313,0.165,1.36866500099868,0.579,0.158,0,0
"480","CNTNAP3B",728577,"ENSG00000154529","PVALB",0.671,0.148,2.18815481139506,0.78,0.56,0,0
"481","CNTNAP4",85445,"ENSG00000152910","Oligodendrocyte",0.398,0.248,1.76572957207516,0.587,0.174,0,0
"482","CNTRL",11064,"ENSG00000119397","Microglia",0.153,0.141,1.46216313410518,0.511,0.022,2.47050919415152e-204,4.42863478143602e-200
"483","COBLL1",22837,"ENSG00000082438","Pericyte",0.309,0.058,3.1227591471196,0.645,0.29,9.86300283195075e-109,1.76804188765549e-104
"484","COL11A1",1301,"ENSG00000060718","OPC",0.59,0.128,2.37493149127262,0.754,0.508,0,0
"485","COL11A1",1301,"ENSG00000060718","L5.6.NP",0.583,0.143,1.51468045630807,0.689,0.378,2.06655912881697e-98,3.70451389431731e-94
"486","COL11A1",1301,"ENSG00000060718","Pericyte",0.285,0.145,2.04121070867271,0.588,0.176,7.38388027806746e-61,1.32363437864637e-56
"487","COL12A1",1303,"ENSG00000111799","L5.6.NP",0.488,0.07,2.33167240372555,0.736,0.472,1.3975495734353e-138,2.50524736534012e-134
"488","COL12A1",1303,"ENSG00000111799","PVALB",0.251,0.064,1.64534368267688,0.588,0.176,2.51168173112296e-258,4.50244067121101e-254
"489","COL16A1",1307,"ENSG00000084636","Astrocyte",0.281,0.114,1.44300956261649,0.567,0.134,2.04671107489159e-281,3.66893427285067e-277
"490","COL18A1",80781,"ENSG00000182871","Pericyte",0.278,0.031,3.2637936847074,0.607,0.214,3.51648701585183e-82,6.30365462461598e-78
"491","COL18A1",80781,"ENSG00000182871","LAMP5",0.172,0.03,1.28397117801737,0.577,0.154,2.38222620230305e-73,4.27037869024846e-69
"492","COL1A2",1278,"ENSG00000164692","Pericyte",0.316,0,6.17996019397094,0.708,0.416,2.48093809471541e-213,4.44732962858684e-209
"493","COL20A1",57642,"ENSG00000101203","OPC",0.307,0.004,4.59658405886461,0.974,0.948,0,0
"494","COL21A1",81578,"ENSG00000124749","VIP",0.294,0.063,2.18257474639219,0.681,0.362,0,0
"495","COL24A1",255631,"ENSG00000171502","IT",0.196,0.025,1.43117029809921,0.647,0.294,0,0
