"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"167","LOC101927871",101927871,NA,"Glutamatergic",0.372,0.019,3.71077304192653,0.68,0.36,0,0
"168","LOC101927880",101927880,NA,"Glutamatergic",0.738,0.112,3.49713302878522,0.847,0.694,0,0
"169","LOC101927967",101927967,NA,"Non-neuronal",0.631,0.628,4.34719627751617,0.616,0.232,0,0
"170","LOC101928322",101928322,NA,"Glutamatergic",0.508,0.08,2.86257338742388,0.729,0.458,0,0
"171","LOC101928622",101928622,NA,"Glutamatergic",0.374,0.164,4.20030388507269,0.619,0.238,0,0
"172","LOC101929249",101929249,NA,"Non-neuronal",0.434,0.01,4.89845396531069,0.714,0.428,0,0
"173","LOC101929544",101929544,NA,"Glutamatergic",0.764,0.101,3.72644874856735,0.865,0.73,0,0
"174","LOC101929974",101929974,NA,"Glutamatergic",0.377,0.106,3.17250278209157,0.647,0.294,0,0
"175","LOC105369334",105369334,NA,"Glutamatergic",0.523,0.027,3.29122635232736,0.753,0.506,0,0
"176","LOC105369345",105369345,NA,"Non-neuronal",0.808,0.388,2.79000233980022,0.825,0.65,0,0
"177","LOC105370359",105370359,NA,"Non-neuronal",0.401,0.458,2.61017638525493,0.495,0.01,1.60242884019386e-72,8.05717245137873e-68
"178","LOC105370610",105370610,NA,"Glutamatergic",0.747,0.351,3.43540526487167,0.778,0.556,0,0
"179","LOC105371255",105371255,NA,"Non-neuronal",0.353,0.092,2.81306476394517,0.64,0.28,0,0
"180","LOC105371308",105371308,NA,"Glutamatergic",0.599,0.377,2.64240054397575,0.639,0.278,0,0
"181","LOC105371671",105371671,NA,"Glutamatergic",0.488,0.178,2.93910690370237,0.678,0.356,0,0
"182","LOC105371832",105371832,NA,"Glutamatergic",0.869,0.386,4.1252245754879,0.868,0.736,0,0
"183","LOC105372768",105372768,NA,"GABAergic",0.405,0.024,2.50024532430744,0.692,0.384,0,0
"184","LOC105372776",105372776,NA,"Non-neuronal",0.365,0.4,2.57415074458674,0.516,0.032,4.25586872897158e-137,2.1398933556142e-132
"185","LOC105373720",105373720,NA,"Glutamatergic",0.5,0.05,3.43742513967811,0.735,0.47,0,0
"186","LOC105373891",105373891,NA,"Glutamatergic",0.429,0.055,2.66051796640312,0.696,0.392,0,0
"187","LOC105373893",105373893,NA,"Glutamatergic",0.872,0.367,4.36505482457688,0.886,0.772,0,0
"188","LOC105373895",105373895,NA,"Glutamatergic",0.691,0.186,3.40583196569829,0.802,0.604,0,0
"189","LOC105373896",105373896,NA,"Glutamatergic",0.72,0.092,4.07368565012309,0.843,0.686,0,0
"190","LOC105374214",105374214,NA,"Non-neuronal",0.71,0.627,2.5801758414902,0.66,0.32,0,0
"191","LOC105374524",105374524,NA,"Glutamatergic",0.554,0.278,3.39509433458526,0.677,0.354,0,0
"192","LOC105374971",105374971,NA,"Glutamatergic",0.621,0.342,3.98789942934252,0.681,0.362,0,0
"193","LOC105375159",105375159,NA,"Glutamatergic",0.702,0.223,2.83956236743271,0.796,0.592,0,0
"194","LOC105375415",105375415,NA,"GABAergic",0.731,0.037,5.32400244702158,0.86,0.72,0,0
"195","LOC105375483",105375483,NA,"Non-neuronal",0.476,0.377,3.737694780269,0.604,0.208,0,0
"196","LOC105375929",105375929,NA,"Glutamatergic",0.356,0.116,3.03833478723949,0.631,0.262,0,0
"197","LOC105375931",105375931,NA,"Glutamatergic",0.599,0.291,3.43410267282406,0.694,0.388,0,0
"198","LOC105375974",105375974,NA,"Glutamatergic",0.377,0.246,2.63569774344807,0.57,0.14,7.62555843060624e-178,3.83420703449312e-173
"199","LOC105376219",105376219,NA,"Non-neuronal",0.328,0.384,2.82125059866828,0.503,0.00600000000000001,5.40112724918771e-207,2.71574079216407e-202
"200","LOC105376387",105376387,NA,"Non-neuronal",0.517,0.475,3.09290187839273,0.6,0.2,0,0
"201","LOC105376405",105376405,NA,"Glutamatergic",0.762,0.037,3.46270844111043,0.872,0.744,0,0
"202","LOC105376407",105376407,NA,"Glutamatergic",0.937,0.154,3.82857384079276,0.955,0.91,0,0
"203","LOC105376501",105376501,NA,"Glutamatergic",0.454,0.038,2.95189334054449,0.715,0.43,0,0
"204","LOC105377329",105377329,NA,"Glutamatergic",0.667,0.228,2.73952006536439,0.769,0.538,0,0
"205","LOC105377390",105377390,NA,"Glutamatergic",0.368,0.033,4.01707689355478,0.673,0.346,0,0
"206","LOC105377567",105377567,NA,"GABAergic",0.943,0.787,3.09547070075919,0.818,0.636,0,0
"207","LOC105377574",105377574,NA,"GABAergic",0.816,0.556,2.90707972825448,0.765,0.53,0,0
"208","LOC105377632",105377632,NA,"Non-neuronal",0.635,0.706,2.50357178146751,0.571,0.142,0,0
"209","LOC105378030",105378030,NA,"Glutamatergic",0.491,0.08,2.87219695215062,0.718,0.436,0,0
"210","LOC105378207",105378207,NA,"Glutamatergic",0.398,0.034,3.23101049507876,0.687,0.374,0,0
"211","LOC105378208",105378208,NA,"Glutamatergic",0.534,0.048,3.67002484341845,0.753,0.506,0,0
"212","LOC105378209",105378209,NA,"Glutamatergic",0.527,0.058,3.42943172601672,0.747,0.494,0,0
"213","LOC105378210",105378210,NA,"Glutamatergic",0.36,0.018,2.99638594973147,0.674,0.348,0,0
"214","LOC105378305",105378305,NA,"Non-neuronal",0.413,0.466,4.42354911600102,0.524,0.048,0,0
"215","LOC105378334",105378334,NA,"Glutamatergic",0.851,0.443,2.99603556338906,0.831,0.662,0,0
"216","LOC105379037",105379037,NA,"Glutamatergic",0.465,0.14,3.24059322585818,0.685,0.37,0,0
"217","LOC284930",284930,NA,"Glutamatergic",0.849,0.362,4.68465677888044,0.867,0.734,0,0
"218","LOC440896",440896,NA,"Glutamatergic",0.467,0.012,2.95970660977413,0.73,0.46,0,0
"219","LPAR1",1902,"ENSG00000198121","Non-neuronal",0.581,0.241,4.19982208765041,0.727,0.454,0,0
"220","LRP2",4036,"ENSG00000081479","Non-neuronal",0.473,0.51,3.55589413666899,0.554,0.108,0,0
"221","LRP4",4038,"ENSG00000134569","Non-neuronal",0.5,0.19,3.969895315753,0.694,0.388,0,0
"222","LY86.AS1",NA,NA,"Glutamatergic",0.93,0.254,4.20239372729044,0.945,0.89,0,0
